firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender
name1,lastname1,November,26,1998,BS Legal Management,0918 302 6210,Female
name2,lastname2,May,26,2001,BS Management,0927 212 6276,Female
name3,lastname3,May,16,1997,BS Communications Technology,0918 253 7017,Female
name4,lastname4,December,9,1997,BS Information Technology Entrepreneurship,0918 714 4360,Male
name5,lastname5,September,5,1997,BS Communications Technology,0927 462 1674,Female
name6,lastname6,March,2,1999,BS Management,0918 629 5268,Female
name7,lastname7,November,10,1998,BS Legal Management,0917 369 7388,Female
name8,lastname8,August,28,1999,BS Management Engineering,0917 240 6000,Male
name9,lastname9,July,10,1997,BS Management Engineering,0918 226 5748,Male
name10,lastname10,September,14,2001,BS Communications Technology,0918 342 1717,Female
name11,lastname11,December,8,1998,BS Legal Management,0927 708 1308,Male
name12,lastname12,May,4,1997,BS Management Engineering,0927 747 5497,Male
name13,lastname13,January,28,1999,BS Communications Technology,0917 959 4490,Female
name14,lastname14,January,11,1999,BS Management,0927 543 4192,Female
name15,lastname15,June,6,1998,BS Information Technology Entrepreneurship,0917 211 9497,Male
name16,lastname16,April,20,1999,BS Legal Management,0918 185 5162,Male
name17,lastname17,January,3,1997,BS Information Technology Entrepreneurship,0927 146 8146,Female
name18,lastname18,April,8,1997,BS Management,0927 516 4280,Female
name19,lastname19,December,28,1997,BS Information Technology Entrepreneurship,0927 958 6909,Male
name20,lastname20,March,10,1997,BS Management Engineering,0917 514 9105,Male
name21,lastname21,July,13,1999,BS Legal Management,0927 984 7499,Female
name22,lastname22,September,15,1999,BS Information Technology Entrepreneurship,0927 699 3694,Male
name23,lastname23,April,15,1997,BS Management,0917 317 2478,Male
name24,lastname24,October,1,1997,BS Management Engineering,0917 159 3829,Male
name25,lastname25,May,6,1997,BS Management Engineering,0918 898 6972,Male
name26,lastname26,December,5,1999,BS Management Engineering,0917 796 4622,Male
name27,lastname27,March,4,1997,BS Communications Technology,0927 138 7580,Female
name28,lastname28,November,10,2000,BS Legal Management,0917 195 9244,Male
name29,lastname29,October,10,1999,BS Legal Management,0917 643 3996,Female
name30,lastname30,May,28,1999,BS Communications Technology,0917 758 3119,Male
name31,lastname31,April,6,1999,BS Information Technology Entrepreneurship,0918 669 4265,Male
name32,lastname32,July,16,1999,BS Management,0917 750 8539,Female
name33,lastname33,December,17,1999,BS Information Technology Entrepreneurship,0927 236 9504,Male
name34,lastname34,October,4,1999,BS Legal Management,0917 438 4447,Female
name35,lastname35,July,14,2001,BS Information Technology Entrepreneurship,0917 773 6035,Male
name36,lastname36,December,11,1998,BS Management,0918 455 4185,Male
name37,lastname37,February,2,2000,BS Management,0927 889 9252,Female
name38,lastname38,August,25,2001,BS Legal Management,0927 874 8083,Female
name39,lastname39,May,3,1997,BS Management Engineering,0927 842 3053,Male
name40,lastname40,February,27,1998,BS Legal Management,0927 923 1234,Male
name41,lastname41,November,16,1999,BS Management,0918 381 4956,Male
name42,lastname42,September,24,1998,BS Legal Management,0918 602 9278,Female
name43,lastname43,January,13,1999,BS Management,0918 532 6748,Female
name44,lastname44,February,25,1998,BS Information Technology Entrepreneurship,0917 654 1291,Male
name45,lastname45,January,27,1997,BS Management Engineering,0918 244 1683,Female
name46,lastname46,December,24,1998,BS Management Engineering,0917 818 1190,Female
name47,lastname47,August,23,1999,BS Management,0917 468 6425,Male
name48,lastname48,April,13,1999,BS Information Technology Entrepreneurship,0918 635 1688,Female
name49,lastname49,October,11,1997,BS Legal Management,0917 821 1896,Male
name50,lastname50,March,25,2001,BS Legal Management,0927 924 9506,Male
name51,lastname51,August,22,1998,BS Information Technology Entrepreneurship,0918 854 2626,Female
name52,lastname52,March,21,1999,BS Communications Technology,0918 438 9745,Female
name53,lastname53,December,15,2000,BS Management,0917 893 8235,Male
name54,lastname54,July,10,1998,BS Communications Technology,0918 216 5250,Female
name55,lastname55,May,8,1998,BS Management Engineering,0917 257 1057,Female
name56,lastname56,September,9,1998,BS Management Engineering,0927 949 5098,Male
name57,lastname57,May,9,2001,BS Communications Technology,0927 766 6306,Female
name58,lastname58,April,6,1997,BS Management Engineering,0918 851 8794,Female
name59,lastname59,April,24,1998,BS Information Technology Entrepreneurship,0917 901 2860,Male
name60,lastname60,August,26,1999,BS Information Technology Entrepreneurship,0918 681 5912,Male
name61,lastname61,September,8,1998,BS Communications Technology,0918 340 1320,Female
name62,lastname62,December,7,2000,BS Information Technology Entrepreneurship,0927 551 1326,Female
name63,lastname63,February,22,2000,BS Management Engineering,0918 975 4142,Male
name64,lastname64,November,13,1997,BS Information Technology Entrepreneurship,0917 466 1269,Female
name65,lastname65,March,23,1997,BS Management Engineering,0927 627 1302,Female
name66,lastname66,September,24,1997,BS Legal Management,0917 553 5101,Female
name67,lastname67,December,9,1997,BS Communications Technology,0917 442 5313,Male
name68,lastname68,November,4,2001,BS Management,0927 715 7133,Male
name69,lastname69,November,19,1998,BS Communications Technology,0917 448 4860,Male
name70,lastname70,May,12,1998,BS Legal Management,0917 255 1167,Female
name71,lastname71,August,19,1999,BS Communications Technology,0918 461 3486,Female
name72,lastname72,December,1,1999,BS Management,0927 347 7129,Male
name73,lastname73,June,21,1998,BS Management Engineering,0918 404 6593,Male
name74,lastname74,October,25,1997,BS Legal Management,0927 737 8051,Male
name75,lastname75,September,17,1998,BS Information Technology Entrepreneurship,0927 348 7430,Male
name76,lastname76,February,2,1997,BS Communications Technology,0927 188 4940,Female
name77,lastname77,May,19,2000,BS Communications Technology,0918 961 3285,Male
name78,lastname78,September,15,2000,BS Management,0918 510 5817,Female
name79,lastname79,December,23,2000,BS Legal Management,0927 668 6229,Male
name80,lastname80,August,10,1999,BS Communications Technology,0927 229 9686,Female
name81,lastname81,February,1,1997,BS Communications Technology,0918 873 6019,Male
name82,lastname82,November,22,1997,BS Communications Technology,0918 376 7811,Male
name83,lastname83,June,18,2000,BS Management Engineering,0927 118 4679,Female
name84,lastname84,February,28,1999,BS Information Technology Entrepreneurship,0917 236 2591,Female
name85,lastname85,January,10,1999,BS Legal Management,0927 128 1225,Female
name86,lastname86,November,21,1998,BS Management,0918 587 6655,Male
name87,lastname87,August,15,1998,BS Information Technology Entrepreneurship,0918 945 8163,Female
name88,lastname88,January,26,1997,BS Management Engineering,0917 908 6005,Male
name89,lastname89,March,26,1998,BS Information Technology Entrepreneurship,0917 367 9784,Female
name90,lastname90,March,15,1999,BS Information Technology Entrepreneurship,0918 501 6913,Male
name91,lastname91,August,16,1997,BS Information Technology Entrepreneurship,0918 823 1926,Female
name92,lastname92,December,8,1997,BS Management Engineering,0917 449 1492,Male
name93,lastname93,June,14,1998,BS Information Technology Entrepreneurship,0927 196 1085,Female
name94,lastname94,November,24,1997,BS Legal Management,0918 768 1582,Male
name95,lastname95,September,6,2001,BS Communications Technology,0927 111 9326,Female
name96,lastname96,March,16,1999,BS Communications Technology,0917 699 1883,Male
name97,lastname97,January,19,1997,BS Management,0918 149 1873,Female
name98,lastname98,January,10,1998,BS Information Technology Entrepreneurship,0927 615 1107,Male
name99,lastname99,May,12,1998,BS Communications Technology,0927 440 8773,Male
name100,lastname100,May,10,1999,BS Management,0927 787 2993,Female
name101,lastname101,April,2,1997,BS Communications Technology,0927 952 3919,Female
name102,lastname102,August,14,2001,BS Legal Management,0918 454 7163,Male
name103,lastname103,December,16,2000,BS Management Engineering,0927 148 8884,Male
name104,lastname104,July,16,2001,BS Communications Technology,0918 852 3413,Female
name105,lastname105,March,5,1999,BS Information Technology Entrepreneurship,0917 502 7912,Male
name106,lastname106,August,25,1997,BS Communications Technology,0927 510 1038,Female
name107,lastname107,April,21,2001,BS Management,0927 958 1514,Female
name108,lastname108,May,14,1999,BS Management,0918 797 4867,Male
name109,lastname109,August,15,1998,BS Management Engineering,0917 615 3478,Female
name110,lastname110,January,8,1999,BS Management Engineering,0918 661 5521,Male
name111,lastname111,December,22,2001,BS Management Engineering,0918 401 1101,Female
name112,lastname112,May,19,1997,BS Management,0918 469 9048,Female
name113,lastname113,May,27,1997,BS Information Technology Entrepreneurship,0917 389 5698,Female
name114,lastname114,August,22,1999,BS Communications Technology,0917 946 6274,Female
name115,lastname115,March,26,1998,BS Information Technology Entrepreneurship,0917 236 8755,Male
name116,lastname116,July,19,1997,BS Information Technology Entrepreneurship,0918 269 1384,Female
name117,lastname117,January,11,1997,BS Legal Management,0918 953 2016,Male
name118,lastname118,February,4,1999,BS Management Engineering,0918 752 1689,Female
name119,lastname119,December,27,1997,BS Legal Management,0927 259 3515,Male
name120,lastname120,February,3,1997,BS Legal Management,0918 732 2042,Female
name121,lastname121,March,5,2000,BS Legal Management,0918 137 1929,Female
name122,lastname122,March,1,2001,BS Legal Management,0917 898 5495,Female
name123,lastname123,April,23,1999,BS Legal Management,0918 479 2283,Female
name124,lastname124,February,2,1999,BS Management,0917 428 8800,Male
name125,lastname125,November,24,1998,BS Legal Management,0917 641 8280,Female
name126,lastname126,June,4,2000,BS Legal Management,0927 272 9008,Male
name127,lastname127,March,3,2000,BS Legal Management,0917 218 3720,Male
name128,lastname128,June,20,1998,BS Legal Management,0918 872 3714,Female
name129,lastname129,October,25,1998,BS Management Engineering,0927 399 5328,Male
